통계표,계정코드,통화계약구분코드,단위,가중치,변환,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12
"4.3.1.1. 수출물가지수(기본분류)","          동1차제품","원화기준","2015=100","7.4","원자료","126.70","134.02","142.96","146.33","154.75","150.84","153.73","155.23","156.17","162.28","163.15","161.64","165.62","168.27","175.23","177.40","174.26","172.83","158.52","162.22","167.67","171.10","167.86","162.71","163.04","166.34","169.67","171.02","165.72","161.75","160.71","163.31","163.59","162.74","160.07","161.38"
"4.3.1.1. 수출물가지수(기본분류)","          동1차제품","계약통화기준","2015=100","7.4","원자료","130.23","136.00","142.60","147.45","155.40","151.75","151.59","150.92","150.63","154.77","155.58","154.04","156.47","158.38","161.90","162.39","154.79","152.62","136.77","138.79","135.92","135.28","138.81","141.59","147.45","147.65","146.57","146.14","140.74","140.70","140.92","139.72","138.79","135.91","137.80","139.59"
"4.3.1.1. 수출물가지수(기본분류)","          동1차제품","달러기준","2015=100","7.4","원자료","130.33","136.11","142.71","147.57","155.53","151.87","151.71","151.04","150.74","154.89","155.70","154.16","156.60","158.51","162.02","162.52","154.92","152.74","136.88","138.90","136.03","135.38","138.91","141.70","147.57","147.76","146.69","146.25","140.85","140.81","141.03","139.83","138.89","136.02","137.90","139.70"
"4.3.1.1. 수출물가지수(기본분류)","          알루미늄1차제품","원화기준","2015=100","6.5","원자료","105.95","108.69","113.78","117.20","122.12","125.81","129.52","134.14","141.93","150.87","148.98","148.20","168.22","180.29","192.73","197.79","190.53","185.21","177.65","169.73","163.75","168.46","152.65","158.80","154.62","160.74","157.24","154.61","154.59","146.02","140.97","141.79","143.29","145.78","141.90","140.41"
"4.3.1.1. 수출물가지수(기본분류)","          알루미늄1차제품","계약통화기준","2015=100","6.5","원자료","108.98","110.37","113.58","118.21","122.73","126.66","127.82","130.52","137.01","144.01","142.18","141.36","159.07","169.86","178.23","181.22","169.41","163.71","153.40","145.35","132.85","133.32","126.35","138.32","139.97","142.82","135.97","132.25","131.42","127.13","123.73","121.40","121.68","121.85","122.27","121.57"
"4.3.1.1. 수출물가지수(기본분류)","          알루미늄1차제품","달러기준","2015=100","6.5","원자료","108.98","110.37","113.58","118.21","122.73","126.66","127.82","130.52","137.01","144.01","142.18","141.36","159.07","169.86","178.23","181.22","169.41","163.71","153.40","145.35","132.85","133.32","126.35","138.32","139.97","142.82","135.97","132.25","131.42","127.13","123.73","121.40","121.68","121.85","122.27","121.57"
"4.3.1.1. 수출물가지수(기본분류)","    금속가공제품","원화기준","2015=100","16.9","원자료","106.23","107.81","110.12","110.68","115.15","117.21","122.95","126.06","127.05","131.02","131.56","133.61","137.18","138.38","141.12","145.33","150.98","152.46","158.02","159.68","167.60","169.43","162.71","155.23","148.66","151.74","155.54","158.15","161.02","156.41","154.80","157.85","158.61","159.87","155.66","155.90"
"4.3.1.1. 수출물가지수(기본분류)","    금속가공제품","계약통화기준","2015=100","16.9","원자료","107.94","108.25","108.85","110.54","114.58","116.96","120.50","121.87","121.87","124.58","125.32","127.29","129.58","130.24","130.89","134.11","135.65","136.44","138.68","139.00","138.85","137.19","137.21","136.95","135.87","136.40","136.16","136.62","138.69","138.42","137.83","137.61","137.61","136.84","137.09","137.37"
"4.3.1.1. 수출물가지수(기본분류)","    금속가공제품","달러기준","2015=100","16.9","원자료","110.27","110.49","110.93","112.65","116.79","119.09","122.44","123.79","123.77","126.20","126.72","128.60","130.90","131.57","131.67","134.36","135.45","135.99","137.70","137.99","137.22","135.30","135.90","136.43","135.79","136.05","135.71","136.48","138.11","137.43","137.10","136.40","135.93","134.85","135.34","136.20"
"4.3.1.1. 수출물가지수(기본분류)","      금속가공제품","원화기준","2015=100","16.9","원자료","106.23","107.81","110.12","110.68","115.15","117.21","122.95","126.06","127.05","131.02","131.56","133.61","137.18","138.38","141.12","145.33","150.98","152.46","158.02","159.68","167.60","169.43","162.71","155.23","148.66","151.74","155.54","158.15","161.02","156.41","154.80","157.85","158.61","159.87","155.66","155.90"
