,경상수지_lag,상품수지_lag,서비스수지_lag,본원소득수지_lag,이전소득수지_lag,자본수지_lag,자본이전_lag,비생산비금융자산_lag,금융계정_lag,직접투자_lag,증권투자_lag,파생금융상품_lag,기타투자_lag,준비자산_lag,외국인보유비율변화
2022/11,762.4,-850.0,-138.4,1688.2,62.6,21.7,3.6,18.1,-1287.6,-175.2,5087.2,-2018.5,-5787.8,1606.7,0.6791866028708178
2022/12,-1323.6,-1005.4,-735.5,567.0,-149.7,-135.4,0.6,-136.0,268.7,-1541.6,-2578.3,-505.4,3251.8,1642.2,0.2743722943722915
2023/01,2307.1,-455.1,-2607.6,5613.2,-243.4,15.8,11.8,4.0,-2992.1,-1238.9,-7434.6,-60.8,9635.1,-3892.9,0.18180952380951965
2023/02,-4204.8,-7349.7,-3357.8,6669.5,-166.8,10.7,22.8,-12.1,1594.3,-885.3,3095.4,1472.5,2324.0,-4412.3,0.5095000000000027
2023/03,-1325.9,-1250.4,-2263.1,2503.2,-315.6,-0.6,-0.1,-0.5,-3261.3,-3495.8,-1136.1,1377.6,-1598.0,1591.0,0.5279545454545413
2023/04,-429.4,-1181.0,-1970.5,3080.3,-358.2,-37.8,-0.7,-37.1,1461.0,-3005.1,-6398.3,-1042.7,10760.5,1146.6,0.009045454545457687
2023/05,-1372.7,612.5,-1165.0,-742.5,-77.7,-52.5,1.7,-54.2,5222.2,-1540.3,3599.2,-386.9,3562.4,-12.2,-0.4089999999999989
2023/06,2300.8,1883.6,-907.6,1719.2,-394.4,74.8,79.3,-4.5,-2370.3,-1635.6,11921.5,138.7,-16109.2,3314.3,0.06259523809523415
2023/07,6177.8,3913.3,-2638.4,5258.5,-355.6,46.6,52.2,-5.6,-5126.9,3897.7,-2468.1,426.1,-6619.0,-363.6,0.27666666666666373
2023/08,4113.9,4427.5,-2572.1,3356.3,-1097.8,-32.1,-0.2,-31.9,-3677.0,-1036.9,-4274.2,293.6,-125.7,1466.2,0.6384199134199164
2023/09,5412.7,5201.4,-1549.5,1879.0,-118.2,-26.5,3.0,-29.5,-6286.7,-2112.9,-4246.9,328.8,-1847.5,1591.8,0.2515550239234443
2023/10,6072.7,7486.3,-3209.9,2180.4,-384.1,23.7,25.6,-1.9,-4370.2,-2071.5,-5131.1,-665.3,2262.2,1235.5,-0.16210526315789053
2023/11,7437.8,5433.3,-1279.8,3358.5,-74.2,44.0,45.9,-1.9,-8773.7,-171.3,-4400.9,-430.0,-3812.2,40.7,-0.7308133971291895
2023/12,3890.7,6878.2,-2210.9,-116.6,-660.0,-11.5,-7.2,-4.3,-1128.1,-2888.1,2203.0,229.6,-54.9,-617.7,-2.6423444976076524
